gene,log2FC,p
Ngef,-0.027960964,0.27536216
Neu2,0.0,1.0
Inpp5d,0.09145156,0.18284416
Atg16l1,-0.12515987,0.37722468
Sag,-0.006344892,0.89001447
Dgkd,-0.08142333,0.12437143
Gm19582,0.0,1.0
Usp40,-0.25584078,0.1607524
Ugt1a7c,0.0,1.0
Ugt1a6a,0.0,1.0
Ugt1a5,0.0,1.0
Ugt1a2,0.0,1.0
Dnajb3,0.028064143,0.13401763
Mroh2a,-0.037082244,0.42264965
Hjurp,-0.26440057,0.21514171
Gm29538,0.0,1.0
Glrp1,0.013172501,0.29332665
Gm29336,0.0,1.0
Arl4c,0.14620969,0.4803192
Platr5,0.0,1.0
Sh3bp4,-0.1848042,0.11426231
Agap1,0.015399575,0.8233527
Asb18,0.0,1.0
Iqca,0.010097691,0.42264977
4930434B07Rik,0.0,1.0
Ackr3,-0.005557254,0.88358176
Gm28723,-0.003090815,0.42264977
Cops8,-0.07622397,0.47271135
Col6a3,0.0056417836,0.41140756
Mlph,0.08854222,0.093746684
Prlh,0.0,1.0
Gm28199,0.0,1.0
Lrrfip1,-0.017480701,0.71852875
Rbm44,0.01004253,0.4226497
Ramp1,-0.2510991,0.4692057
Ube2f,-0.06005633,0.38245514
Gm26683,0.0,1.0
Scly,0.013949248,0.45856076
Klhl30,0.0,1.0
Fam132b,-0.0046667033,0.4226497
Ilkap,-0.14887774,0.25047794
Hes6,0.07099968,0.6583985
Per2,-0.009599939,0.7155352
Traf3ip1,0.029577164,0.12241312
Asb1,-0.02373214,0.5318437
Gm29100,-0.0120074535,0.5055453
Twist2,-0.0033404191,0.42264965
Hdac4,-0.0868462,0.53477544
Gm26720,-0.014771133,0.21327125
Ndufa10,-0.073265076,0.077424526
Myeov2,0.06171608,0.5428257
Otos,-0.07340652,0.37377197
Gm29483,0.0032010693,0.8957949
Gpc1,-0.1445668,0.37450305
Gm29480,0.0,1.0
Ankmy1,0.0,1.0
Dusp28,0.018641852,0.54229546
5033417F24Rik,-0.0023454055,0.79572517
Rnpepl1,-0.010152057,0.8260901
9430060I03Rik,0.0034999643,0.80068815
Capn10,-0.055277422,0.56025904
Gpr35,0.0,1.0
Kif1a,-0.07159752,0.6885828
Gm28086,0.0,1.0
2310007B03Rik,0.0,1.0
Crocc2,-0.016832752,0.42264977
Sned1,0.016908064,0.4226497
Mterf4,-0.0033909678,0.95208037
Gm28535,0.0,1.0
Pask,0.009869631,0.62093365
Ppp1r7,-0.09343544,0.15523838
Ano7,0.0,1.0
Hdlbp,0.15968911,0.29646394
Sept2,-0.0999279,0.22855116
Farp2,0.0118202735,0.60334104
Stk25,0.040047705,0.78321546
Gm28536,0.0,1.0
Bok,-0.08263773,0.2583626
Thap4,-0.09112477,0.48059708
Gm10550,0.0,1.0
Atg4b,-0.00396882,0.97040397
Dtymk,0.036915988,0.77289677
Ing5,-0.046972312,0.47457775
D2hgdh,-0.09941267,0.1935622
Neu4,-0.11962956,0.19264127
Pdcd1,-0.00219294,0.6691828
Fam174a,-0.105394274,0.22750482
St8sia4,0.108443365,0.17484555
Slco4c1,0.0,1.0
Panct2,-8.287653e-05,0.98532313
Gm28901,0.0,1.0
D1Ertd622e,-0.0029890686,0.92641956
Ppip5k2,0.083985485,0.2528426
Gin1,-0.07870041,0.46534845
Pam,-0.20242415,0.17351441
1810006J02Rik,0.0,1.0
Gm7967,0.017091423,0.4226497
Cntnap5b,0.0017652015,0.4226497
Gm28187,0.0,1.0
Cdh20,0.016361842,0.44420958
Rnf152,-0.049612075,0.7067738
Gm17634,0.0,1.0
Pign,-0.015093885,0.76801336
2310035C23Rik,0.03117305,0.65136474
Tnfrsf11a,0.008039541,0.69976276
Gm7160,0.003551344,0.79460984
Zcchc2,-0.042748153,0.27151158
Gm20753,0.004315306,0.42264977
Phlpp1,-0.07876246,0.44137785
A530053M12Rik,0.0,1.0
Bcl2,-0.0793324,0.1713025
D630008O14Rik,0.0,1.0
Kdsr,-0.08685471,0.5047475
Vps4b,0.038011134,0.12562443
Serpinb5,0.0,1.0
Serpinb12,0.0,1.0
Serpinb2,0.0,1.0
Serpinb10,0.0,1.0
Serpinb8,-0.029558826,0.2580763
Cdh7,-0.13873938,0.2941965
Cdh19,0.019084927,0.3815154
Dsel,-0.043953035,0.42032424
9330185C12Rik,0.0,1.0
Cntnap5a,0.01563596,0.8246823
Tsn,0.02994895,0.8678915
Nifk,0.038450748,0.4337891
Clasp1,-0.04060352,0.7080936
2900060B14Rik,0.10095294,0.018381603
Tfcp2l1,0.0,1.0
Gli2,-0.0036250292,0.5704676
Gm26831,0.0,1.0
Gm29455,-0.031850185,0.32916772
Inhbb,-0.0540948,0.45023078
Ralb,0.013125367,0.6096034
Gm27184,0.0044163396,0.42264977
Tmem185b,0.0035014525,0.8276313
Epb41l5,0.03840861,0.47175387
Ptpn4,-0.14980118,0.1322202
Tmem177,0.031932674,0.31414244
Cfap221,0.0,1.0
Sctr,0.027512563,0.18370937
Tmem37,0.06170035,0.17739727
Dbi,-0.025047183,0.9193796
3110009E18Rik,0.025870912,0.47126824
Steap3,-0.009679893,0.60941917
C1ql2,-0.09780855,0.3803396
En1,0.0,1.0
Celrr,0.0,1.0
Insig2,-0.11124773,0.22389965
Ccdc93,0.010445997,0.89724255
Htr5b,-0.019081749,0.099797726
Ddx18,0.1503912,0.0585277
Dpp10,-0.10451254,0.035758767
Actr3,-0.07821083,0.63223237
Slc35f5,-0.015849754,0.7777536
Gpr39,0.0,1.0
Lypd1,-0.058134027,0.42561287
Nckap5,0.02899422,0.6097772
Mgat5,-0.12982039,0.062172476
Tmem163,-0.009592414,0.92627734
2900009J06Rik,0.06894161,0.16474949
Ccnt2,-0.08624238,0.5411318
Map3k19,0.0,1.0
Rab3gap1,-0.22250603,0.07505243
Zranb3,-0.0045958906,0.86282665
Gm28800,0.0,1.0
R3hdm1,-0.043252468,0.68685764
Ubxn4,0.20168418,0.2082089
Lct,0.011136228,0.2842768
Mcm6,0.026238859,0.6680533
Dars,0.085292324,0.29780096
