gene,log2FC,p
Gm29455,-0.0140914945,0.09925062
Inhbb,0.0009391606,0.97517234
Ralb,-0.0021211952,0.9298489
Gm27184,-0.0034539965,0.44106734
Tmem185b,-0.018800445,0.29264057
Epb41l5,0.013499737,0.58634794
Ptpn4,-0.11576936,0.011920935
Tmem177,0.013449486,0.5292424
Cfap221,0.0031739522,0.42264977
Sctr,0.0,1.0
Tmem37,0.030714668,0.015456587
Dbi,-0.28251386,0.39623642
3110009E18Rik,-0.009571597,0.36829174
Steap3,0.011897975,0.18630847
C1ql2,-0.05380547,0.33102763
En1,0.018224135,0.21547203
Celrr,0.01130561,0.6277293
Insig2,-0.040007845,0.36857602
Ccdc93,0.0013881773,0.95276785
Htr5b,0.0,1.0
Ddx18,-0.07383451,0.29011133
Dpp10,-0.10134506,0.09849451
Actr3,0.011469156,0.72205335
Slc35f5,0.034734808,0.15566435
Gpr39,0.0,1.0
Lypd1,-0.049395874,0.45510232
Nckap5,0.06229034,0.127459
Mgat5,-0.037543625,0.1180437
Tmem163,0.06412831,0.60104865
2900009J06Rik,-0.0066589275,0.5361306
Ccnt2,0.1332953,0.25981942
Map3k19,0.0023638818,0.4226497
Rab3gap1,0.009535238,0.8628439
Zranb3,-0.016472463,0.08559035
Gm28800,0.0,1.0
R3hdm1,0.0676198,0.54299533
Ubxn4,0.036073208,0.39770955
Lct,-0.0015145974,0.42264977
Mcm6,-0.0472606,0.23429842
Dars,-0.029415548,0.4908368
Cxcr4,-0.018054899,0.23130828
Thsd7b,0.008096464,0.6673479
Cd55b,0.0,1.0
Gm15675,-0.001852945,0.4226497
Cd55,0.0025907261,0.79637337
Gm16083,-0.0016159462,0.8076731
Gm29427,0.002773701,0.46227384
Pfkfb2,0.008033454,0.5711547
Yod1,0.04496351,0.072618544
AA986860,0.00083270995,0.84676665
Fcmr,0.002061823,0.4226497
Il10,0.0,1.0
Mapkapk2,-0.03821321,0.1892769
Dyrk3,-0.0050695254,0.27344334
Eif2d,-0.003886655,0.90298754
Rassf5,0.002442169,0.8515291
Ikbke,-0.001732077,0.76603585
