gene,log2FC,p
Rufy4,0.0,1.0
Cxcr2,0.0027801953,0.4226497
Cxcr1,0.0,1.0
Arpc2,0.1509763,0.29239097
Aamp,0.12647045,0.289173
Pnkd,0.06871024,0.40761605
Tmbim1,-0.17512906,0.15556327
Catip,0.022847023,0.28209874
Slc11a1,0.0055581927,0.96537477
Ctdsp1,-0.08604178,0.23594724
Vil1,0.0,1.0
Usp37,-0.011469841,0.7208434
Rqcd1,0.020934733,0.5567682
Plcd4,0.0,1.0
Zfp142,0.03543677,0.12622629
Bcs1l,0.020664044,0.25367022
Rnf25,-0.014271399,0.44942906
Stk36,0.0,1.0
Ttll4,0.021421129,0.27093685
Cyp27a1,-0.041786313,0.75420517
Prkag3,0.0,1.0
Wnt6,0.0,1.0
Wnt10a,0.0,1.0
Cdk5r2,-0.009256224,0.5999506
Ccdc108,-0.004204135,0.42264965
Ihh,0.0,1.0
Nhej1,6.285403e-05,0.9959855
Slc23a3,0.0,1.0
Cnppd1,0.14898053,0.011464588
Fam134a,0.038449854,0.4416378
Zfand2b,0.07323755,0.25040823
Abcb6,0.039961692,0.005026144
Atg9a,0.04145958,0.1972973
Ankzf1,-0.012955125,0.6798221
Glb1l,0.028097348,0.027751293
Stk16,-0.03377088,0.21458271
Tuba4a,0.054387137,0.3329581
Dnajb2,0.065594606,0.4652125
Ptprn,0.011911627,0.33346376
Resp18,0.0,1.0
Dnpep,-0.03670682,0.5979509
Des,0.0,1.0
Speg,-0.012412397,0.46396956
Gmppa,0.042608857,0.061821118
Asic4,0.0057102493,0.42264965
Chpf,-0.004901603,0.4226497
Obsl1,0.0,1.0
Tmem198,0.0,1.0
Inha,0.0,1.0
Stk11ip,0.033608366,0.23976101
Slc4a3,-0.011236645,0.4226497
Gm17751,0.0,1.0
Gm816,0.002629067,0.42264977
Epha4,0.0,1.0
Pax3,0.0,1.0
Sgpp2,0.0,1.0
Farsb,0.019107603,0.72624534
BC035947,0.0,1.0
Mogat1,0.0,1.0
Acsl3,0.012273908,0.7228478
Utp14b,0.0034943,0.9330487
Kcne4,0.0,1.0
Scg2,0.005261928,0.4226497
Ap1s3,0.0,1.0
Wdfy1,0.016573511,0.73733574
Mrpl44,-0.021363564,0.4308976
Serpine2,0.047432765,0.4927147
9830004L10Rik,0.0,1.0
Fam124b,0.0,1.0
2310015K22Rik,0.0,1.0
Cul3,-0.055025026,0.0011644079
Dock10,0.10996136,0.09096499
Nyap2,0.0,1.0
Irs1,0.0,1.0
Rhbdd1,-0.036146663,0.2595653
Gm28940,0.0,1.0
Col4a4,0.0,1.0
Col4a3,0.0,1.0
Mff,0.01693435,0.72396505
Agfg1,0.007839322,0.93067694
Slc19a3,0.0,1.0
Krtap28-13,0.0,1.0
Ccl20,0.0,1.0
Daw1,0.0,1.0
Sphkap,0.0,1.0
Pid1,-0.15413374,0.5953812
Dner,0.013655086,0.23920274
Trip12,-0.03192699,0.66939604
Fbxo36,-0.009383612,0.4491348
Slc16a14,-0.006043592,0.42264965
C130026I21Rik,-0.027224489,0.5055647
A530032D15Rik,0.053271636,0.22595842
A530040E14Rik,-0.007595403,0.36184517
G530012D18Rik,0.0,1.0
Sp110,0.06223549,0.052411243
Gm16094,-0.0027179958,0.42264965
Sp140,0.005849436,0.75889575
Sp100,0.12019789,0.454453
A630001G21Rik,0.01786194,0.780082
Cab39,0.08739066,0.1998063
Itm2c,-0.19587487,0.27420464
4933407L21Rik,0.0,1.0
Gm28884,0.0,1.0
Gpr55,0.0,1.0
Spata3,0.0,1.0
2810459M11Rik,0.0,1.0
Psmd1,0.10631567,0.083611555
Htr2b,0.0,1.0
Gm21972,0.0,1.0
Armc9,-0.01704073,0.036202643
B3gnt7,0.0064101894,0.42264977
Gm28626,-0.0072349836,0.42264977
Ncl,0.19046575,0.305658
Ptma,0.250463,0.38906807
Pde6d,0.017816655,0.8489343
Cops7b,0.015158733,0.6711348
Nppc,0.0045770654,0.4226497
Dis3l2,-0.0074938685,0.8403708
Ecel1,-0.007866719,0.42264977
Chrng,0.0,1.0
Eif4e2,-0.09962365,0.1600003
Efhd1,-0.0013472289,0.9127376
Efhd1os,0.0,1.0
Gigyf2,-0.046745196,0.3826028
Kcnj13,-0.01144067,0.5558944
3110079O15Rik,0.0,1.0
Ngef,0.0,1.0
Neu2,0.0,1.0
Inpp5d,-0.0991686,0.52890056
Atg16l1,-0.019704565,0.5553264
Sag,-0.0055407872,0.75810087
Dgkd,-0.004999101,0.9552822
Gm19582,0.006619286,0.4226497
Usp40,-0.033147007,0.11309983
Ugt1a7c,-0.009471157,0.5108119
Ugt1a6a,-0.043527607,0.25740114
Ugt1a5,0.0,1.0
Ugt1a2,0.0,1.0
Dnajb3,0.0078097605,0.4226497
Mroh2a,0.0,1.0
Hjurp,0.00025767833,0.9916412
Gm29538,-0.0039138976,0.42264965
Glrp1,-0.003511162,0.67468894
Gm29336,0.0,1.0
Arl4c,-0.02466163,0.89785516
Platr5,0.0,1.0
Sh3bp4,0.0027460575,0.7202876
Agap1,0.03201612,0.09702817
Asb18,0.0,1.0
Iqca,0.0,1.0
4930434B07Rik,0.0,1.0
Ackr3,0.0,1.0
Gm28723,0.0,1.0
Cops8,-0.008335933,0.9344588
Col6a3,0.0041883686,0.42264977
Mlph,0.028137853,0.2672461
Prlh,0.0,1.0
Gm28199,0.0,1.0
Lrrfip1,0.023231938,0.5892923
Rbm44,0.0,1.0
Ramp1,0.07867561,0.30412924
Ube2f,-0.10015684,0.17871964
Gm26683,0.0,1.0
Scly,0.06736345,0.2754865
Klhl30,0.0,1.0
Fam132b,-0.0073870146,0.42264977
Ilkap,0.035955667,0.18436068
Hes6,0.05000818,0.07611955
Per2,0.0061449595,0.81949264
Traf3ip1,-0.016969798,0.3156052
Asb1,0.021767626,0.18870513
Gm29100,0.0,1.0
Twist2,-0.0032438787,0.42264977
Hdac4,0.039149255,0.03336021
Gm26720,-0.0055805407,0.4226497
Ndufa10,0.08679892,0.4668454
Myeov2,0.109461546,0.059332263
Otos,0.0,1.0
Gm29483,0.0,1.0
Gpc1,-0.009445402,0.42264977
Gm29480,0.0,1.0
Ankmy1,0.0,1.0
Dusp28,0.00876748,0.593542
5033417F24Rik,0.012153345,0.4226497
Rnpepl1,0.052364364,0.14271647
9430060I03Rik,0.0019657798,0.7913548
Capn10,0.0,1.0
Gpr35,0.011199327,0.6593637
Kif1a,0.095138825,0.26746777
Gm28086,-0.0048559243,0.6839842
2310007B03Rik,-0.0037271345,0.42264977
Crocc2,0.0,1.0
Sned1,0.011366645,0.3636841
Mterf4,0.045677982,0.12559117
Gm28535,0.0,1.0
Pask,0.0,1.0
Ppp1r7,0.025900066,0.4823341
Ano7,0.0,1.0
Hdlbp,0.02748108,0.7627569
Sept2,-0.0009713173,0.99160683
Farp2,0.012382785,0.29926446
Stk25,0.020914055,0.6946419
Gm28536,0.0,1.0
Bok,0.0,1.0
Thap4,0.0044108555,0.83581287
Gm10550,0.0,1.0
Atg4b,0.009473935,0.87467444
Dtymk,-0.04093259,0.15411639
Ing5,-0.06022488,0.078001656
D2hgdh,0.04433039,0.3227378
Neu4,0.00785897,0.4226497
Pdcd1,-0.029496675,0.38074064
Fam174a,0.097393155,0.3024752
St8sia4,0.04101193,0.567259
Slco4c1,0.0,1.0
Panct2,0.0,1.0
Gm28901,0.0057102493,0.42264965
D1Ertd622e,0.0067827404,0.94346917
Ppip5k2,0.0050859973,0.8594583
Gin1,-0.013147462,0.38447407
Pam,0.017659051,0.42264965
1810006J02Rik,0.0,1.0
Gm7967,0.002629067,0.42264977
Cntnap5b,0.0,1.0
Gm28187,0.0,1.0
Cdh20,0.008417913,0.23558183
Rnf152,0.0,1.0
Gm17634,0.0,1.0
Pign,0.025891576,0.46727827
2310035C23Rik,-0.03687761,0.3324181
Tnfrsf11a,0.06803794,0.3780765
Gm7160,0.0417968,0.114529915
Zcchc2,0.077452585,0.26141414
Gm20753,0.0,1.0
Phlpp1,-0.0063134357,0.69002247
A530053M12Rik,-0.007866719,0.42264977
Bcl2,-0.05239994,0.25068733
D630008O14Rik,-0.0021649518,0.42264965
Kdsr,-0.06337471,0.033685613
Vps4b,0.056099877,0.5202046
Serpinb5,0.0,1.0
Serpinb12,0.0,1.0
Serpinb2,0.0,1.0
Serpinb10,0.0,1.0
Serpinb8,-0.021263361,0.80870044
Cdh7,0.0,1.0
Cdh19,-0.00040123425,0.9611071
Dsel,0.00066711195,0.97492516
9330185C12Rik,0.0,1.0
Cntnap5a,0.0,1.0
Tsn,0.08670032,0.463619
Nifk,0.082959354,0.25881508
Clasp1,-0.020908706,0.6264268
2900060B14Rik,0.021265935,0.2904548
Tfcp2l1,0.0,1.0
Gli2,0.0,1.0
Gm26831,0.0,1.0
Gm29455,0.002629067,0.42264977
Inhbb,0.013866595,0.4226497
Ralb,0.034844786,0.35935703
Gm27184,0.0,1.0
Tmem185b,0.04201413,0.55870026
Epb41l5,0.05359708,0.012235888
Ptpn4,0.0057611954,0.5849716
Tmem177,0.021783115,0.19501184
Cfap221,0.0,1.0
Sctr,-0.0028416319,0.4226497
Tmem37,0.29475647,0.2181036
Dbi,0.17487031,0.35347024
3110009E18Rik,-0.0008424679,0.9591637
Steap3,0.010667898,0.57776165
C1ql2,0.0,1.0
En1,0.0,1.0
Celrr,0.0,1.0
Insig2,0.03570307,0.4271454
Ccdc93,0.061755512,0.045091785
Htr5b,0.0,1.0
Ddx18,0.029065266,0.58038175
Dpp10,0.0,1.0
Actr3,0.049746513,0.8791753
Slc35f5,0.044058435,0.36936468
Gpr39,0.0,1.0
Lypd1,0.0,1.0
Nckap5,0.0,1.0
Mgat5,0.038331665,0.53922904
Tmem163,0.0027098537,0.42264977
2900009J06Rik,0.0,1.0
Ccnt2,0.029219985,0.5056347
Map3k19,0.0,1.0
Rab3gap1,0.020204231,0.47062337
Zranb3,-0.0023983493,0.8029413
Gm28800,0.0,1.0
R3hdm1,0.04865241,0.3138025
Ubxn4,0.17140216,0.25579292
Lct,0.0,1.0
Mcm6,0.011898834,0.5393282
