gene,log2FC,p
5033417F24Rik,-0.0052602733,0.45439368
Rnpepl1,0.06505644,0.04546456
9430060I03Rik,0.007247543,0.632129
Capn10,0.026448026,0.27179247
Gpr35,0.060539138,0.057612583
Kif1a,0.0334965,0.41508463
Gm28086,0.0,1.0
2310007B03Rik,-0.0030178216,0.51238203
Crocc2,0.041707925,0.31955984
Sned1,0.019179028,0.16812253
Mterf4,0.072250925,0.08370337
Gm28535,0.0002370635,0.97852665
Pask,-0.0020227777,0.8123511
Ppp1r7,0.007895231,0.4940574
Ano7,0.001435318,0.42264977
Hdlbp,-0.022821516,0.78214645
Sept2,0.14118598,0.0013550952
Farp2,-0.012109143,0.18874645
Stk25,0.033615083,0.34253886
Gm28536,0.0,1.0
Bok,0.18570575,0.15392844
Thap4,-0.07139933,0.17609091
Gm10550,-0.00046674686,0.4226497
Atg4b,0.009882912,0.53808075
Dtymk,0.038683683,0.47981346
Ing5,0.058678236,0.08475949
D2hgdh,0.0069670416,0.7196204
Neu4,0.0026720003,0.5174745
Pdcd1,-0.00048620813,0.8789856
Fam174a,-0.04995075,0.46073267
St8sia4,0.05753659,0.2106793
Slco4c1,0.005456331,0.70564383
Panct2,-0.0023411026,0.42264965
Gm28901,-0.0017342026,0.18350378
D1Ertd622e,0.052156255,0.41648418
Ppip5k2,0.038984172,0.13236779
Gin1,-0.014830768,0.54227155
Pam,0.0030664206,0.81724626
1810006J02Rik,-0.0004080725,0.4226497
Gm7967,0.008383012,0.45334706
Cntnap5b,0.0,1.0
Gm28187,-0.00033627424,0.42264965
Cdh20,0.008857125,0.21508883
Rnf152,-0.058928415,0.12585771
Gm17634,-0.045161895,0.08933684
Pign,0.018431298,0.3446213
2310035C23Rik,0.03759107,0.06720595
Tnfrsf11a,0.0077523477,0.42426553
Gm7160,0.0046447217,0.7300371
Zcchc2,0.013845898,0.38705003
Gm20753,-0.0012071795,0.27673575
Phlpp1,0.03754489,0.17037459
A530053M12Rik,0.0,1.0
Bcl2,0.12703285,0.10368884
D630008O14Rik,0.0,1.0
Kdsr,0.0004594326,0.9810812
Vps4b,0.057992697,0.2543028
Serpinb5,0.0,1.0
Serpinb12,0.0,1.0
Serpinb2,0.016194802,0.3991183
Serpinb10,0.0046106726,0.7241401
Serpinb8,-0.009631893,0.35903764
Cdh7,0.033066828,0.28497538
Cdh19,0.016932262,0.17839396
Dsel,0.015651874,0.36021432
9330185C12Rik,-0.024507597,0.08836811
Cntnap5a,0.0,1.0
Tsn,0.1470421,0.036732964
Nifk,-0.00503207,0.79482347
Clasp1,0.015461788,0.6360589
2900060B14Rik,0.03087632,0.32088503
Tfcp2l1,0.0012155054,0.77377886
Gli2,0.0035475576,0.47643828
Gm26831,-0.0003705479,0.42264977
Gm29455,0.0,1.0
Inhbb,0.026971033,0.113553666
Ralb,0.05315204,0.1923832
Gm27184,-0.0011114432,0.81646585
Tmem185b,0.027540226,0.10956227
Epb41l5,0.05299358,0.22639574
Ptpn4,0.021897417,0.46974725
Tmem177,-0.0042570196,0.7074288
Cfap221,0.040162057,0.14921723
Sctr,0.01688422,0.33233657
Tmem37,-0.01677294,0.73928064
Dbi,0.06548214,0.73696804
3110009E18Rik,0.0007134415,0.96559453
Steap3,0.015965633,0.27114785
C1ql2,0.004498923,0.47361422
En1,0.0,1.0
Celrr,-0.0026476618,0.42264977
Insig2,-0.06956996,0.22501864
Ccdc93,0.009314492,0.75755674
Htr5b,0.033574596,0.019239295
Ddx18,0.06674859,0.032872364
Dpp10,-0.000319447,0.42264977
Actr3,0.0025548935,0.98329854
Slc35f5,0.029606394,0.43061155
Gpr39,-0.00028985107,0.42264977
Lypd1,-0.0033780336,0.3902092
Nckap5,0.031770505,0.28582266
Mgat5,0.0790142,0.022174837
Tmem163,0.0054823747,0.5863774
2900009J06Rik,0.008345862,0.551577
Ccnt2,0.08819618,0.08716481
Map3k19,0.03250773,0.11831419
Rab3gap1,-0.031735465,0.36679617
Zranb3,0.031889703,0.21488264
Gm28800,0.00022069667,0.706186
R3hdm1,0.090302885,0.087438144
Ubxn4,0.01872167,0.7501247
Lct,0.00071559293,0.42264977
Mcm6,0.059379894,0.11318523
Dars,0.033782214,0.227293
Cxcr4,0.27149162,0.076565444
Thsd7b,-0.0059644757,0.3367107
Cd55b,0.0034478193,0.14998254
Gm15675,0.002152525,0.7742863
Cd55,-0.0386135,0.23606123
Gm16083,0.037194684,0.06562583
Gm29427,0.0030949456,0.5680674
Pfkfb2,0.0169172,0.09018436
Yod1,0.01680161,0.6073706
AA986860,0.0060721477,0.011901742
Fcmr,-0.0092379,0.17541896
Il10,0.007829022,0.3657965
Mapkapk2,0.059838712,0.5308617
Dyrk3,0.06225642,0.07821267
Eif2d,0.026452795,0.22319795
Rassf5,0.114956915,0.20625049
Ikbke,0.023625543,0.25817674
Gm28913,-0.00067292247,0.18383013
Srgap2,0.13987193,0.0824024
Fam72a,0.026965842,0.18512395
Ctse,0.016825728,0.4109033
Rab7b,0.008883307,0.57168645
Slc26a9,0.00036690308,0.519785
Pm20d1,-0.00031279773,0.96561897
Slc41a1,0.084996834,0.18256992
Rab29,0.024504658,0.3852772
Nucks1,0.054370522,0.49484813
Slc45a3,0.0019390979,0.481663
Elk4,0.05178046,0.23802072
Mfsd4,-0.010217898,0.26228762
Gm26892,0.0,1.0
Cdk18,0.0073178154,0.23487672
Gm29629,0.0,1.0
Lemd1,0.0,1.0
Klhdc8a,0.0007841624,0.42264965
Nuak2,0.10482169,0.2047506
Tmcc2,0.050704572,0.09802769
Dstyk,0.060088202,0.20612785
Rbbp5,0.038808934,0.06822827
Tmem81,0.007434492,0.48634258
Cntn2,0.03090717,0.098962694
Nfasc,-0.052502796,0.16695304
Gm10538,0.0,1.0
Lrrn2,-0.05990439,0.0022692843
Mdm4,0.10096305,0.054493953
Pik3c2b,0.033749703,0.020285645
Gm28609,0.0,1.0
Ppp1r15b,0.083291695,0.2894336
Plekha6,0.068480484,0.15466873
Gm19461,0.0006068442,0.9342974
Ren1,0.0016129091,0.89157003
Etnk2,0.00879691,0.5037613
Sox13,0.0132876765,0.23920166
Snrpe,0.077448666,0.05057928
Zc3h11a,0.0031371117,0.8053718
Gm38394,0.0039218715,0.49397516
Lax1,-0.0007618948,0.42264977
Atp2b4,0.05261317,0.19646734
Optc,0.005232528,0.51603156
Gm15851,-0.00093810144,0.8005541
Prelp,0.058903217,0.593315
Fmod,0.00025144033,0.9814715
Btg2,0.42412263,0.13183004
Chil1,-0.009375259,0.92744535
Mybph,0.0018552402,0.76443875
Adora1,0.025583675,0.21303579
Myog,0.005026499,0.4657874
Ppfia4,0.08664481,0.097190194
Tmem183a,-0.08278732,0.056960005
Cyb5r1,-0.016348094,0.44231078
Adipor1,-0.032132655,0.7057975
Platr1,-0.0018088571,0.27938998
Klhl12,0.00014704466,0.99489844
Rabif,0.0026251972,0.8903608
Kdm5b,0.031289123,0.28872383
Syt2,0.0,1.0
Ppp1r12b,0.014426233,0.07991642
Gm28892,0.0,1.0
Ube2t,0.024650171,0.28593332
Lgr6,0.008384144,0.046051297
Ptpn7,0.00743029,0.27449724
Arl8a,0.10010415,0.041553263
Gm15445,0.0045462856,0.34345993
Gpr37l1,0.3512199,0.0080586495
Gm26642,0.0,1.0
Elf3,0.00065274537,0.72432464
Rnpep,0.10202491,0.10162394
Timm17a,-0.16635355,0.122448124
