gene,log2FC,p
Dis3l2,0.015919149,0.17194808
Ecel1,-0.0009958223,0.4226497
Chrng,0.0,1.0
Eif4e2,0.010453343,0.7156382
Efhd1,-0.002772957,0.9319966
Efhd1os,0.0,1.0
Gigyf2,0.004156053,0.9231503
Kcnj13,-0.0058762603,0.36404893
3110079O15Rik,-0.0014232048,0.7673056
Ngef,-0.04502806,0.6082458
Neu2,0.0022180844,0.346265
Inpp5d,0.028156,0.198142
Atg16l1,0.0033264458,0.85034126
Sag,0.004870434,0.3766587
Dgkd,-0.016515292,0.4373774
Gm19582,0.0,1.0
Usp40,-0.001291573,0.9650303
Ugt1a7c,0.0075121317,0.29231456
Ugt1a6a,0.005275901,0.4226497
Ugt1a5,-0.0010320239,0.4226497
Ugt1a2,0.0,1.0
Dnajb3,0.0019914424,0.64295655
Mroh2a,0.0007022686,0.4226497
Hjurp,-0.04125552,0.41095236
Gm29538,0.0,1.0
Glrp1,0.0005608871,0.5574743
Gm29336,0.0,1.0
Arl4c,0.01660756,0.51421803
Platr5,0.0,1.0
Sh3bp4,-0.0023666392,0.4864787
Agap1,-0.005350895,0.79438883
Asb18,0.0,1.0
Iqca,0.0008834608,0.42264977
4930434B07Rik,0.0,1.0
Ackr3,-0.011373736,0.60630214
Gm28723,0.0012011632,0.42264977
Cops8,0.0055292696,0.714436
Col6a3,0.002218509,0.46019843
Mlph,0.0028651878,0.8314131
Prlh,-0.002805766,0.42264977
Gm28199,0.0,1.0
Lrrfip1,-0.0063611157,0.6506012
Rbm44,0.0,1.0
Ramp1,-0.009563804,0.9476352
Ube2f,0.024580166,0.50588423
Gm26683,0.0,1.0
Scly,0.0047039427,0.7860382
Klhl30,0.0,1.0
Fam132b,0.0,1.0
Ilkap,-0.009349048,0.59884554
Hes6,-0.027792312,0.28205854
Per2,0.00035855174,0.9819552
Traf3ip1,0.000344418,0.97578126
Asb1,0.0022596996,0.8465774
Gm29100,0.0,1.0
Twist2,0.0,1.0
Hdac4,-0.06861511,0.28014594
Gm26720,-0.028820626,0.096241444
Ndufa10,-0.018293083,0.6943518
Myeov2,-0.030184686,0.72185093
Otos,0.0,1.0
Gm29483,0.0,1.0
Gpc1,-0.010199796,0.46215233
Gm29480,0.0,1.0
Ankmy1,0.0,1.0
Dusp28,-0.020026673,0.40025064
5033417F24Rik,-0.0017889403,0.7350872
Rnpepl1,0.048649997,0.15695652
9430060I03Rik,-0.0010769106,0.8629038
Capn10,-0.022113647,0.07094959
Gpr35,-0.0022814292,0.25974682
Kif1a,0.059712708,0.21211816
Gm28086,0.0,1.0
2310007B03Rik,0.0,1.0
Crocc2,0.0008112465,0.42264977
Sned1,0.025139548,0.3383992
Mterf4,0.016562365,0.5499766
Gm28535,0.0010108814,0.42264977
Pask,0.0017170107,0.5522644
Ppp1r7,-0.008148313,0.64426494
Ano7,-0.00115748,0.4226497
Hdlbp,0.0033216178,0.8389863
Sept2,-0.02777955,0.3097831
Farp2,0.03516765,0.06012601
Stk25,0.0331755,0.46590248
Gm28536,0.0008923359,0.7404282
Bok,0.004625975,0.7232257
Thap4,0.014118079,0.5456105
Gm10550,0.00088372943,0.4226497
Atg4b,-0.0033208206,0.84452826
Dtymk,-0.012621477,0.6120766
Ing5,-0.0066350047,0.38128865
D2hgdh,0.01530616,0.36802194
Neu4,0.009852782,0.36154425
Pdcd1,0.0,1.0
Fam174a,0.012531087,0.6562964
St8sia4,0.00077970524,0.70884943
Slco4c1,0.0,1.0
Panct2,0.0,1.0
Gm28901,0.0010502714,0.42264977
D1Ertd622e,0.029725261,0.2654983
Ppip5k2,-0.01728368,0.2966599
Gin1,0.026145898,0.056804765
Pam,-0.020334601,0.14055264
1810006J02Rik,0.0,1.0
Gm7967,-0.047527514,0.07568392
Cntnap5b,0.0,1.0
Gm28187,0.0,1.0
Cdh20,-0.026465505,0.3074099
Rnf152,-0.0010636599,0.42264977
Gm17634,0.0,1.0
Pign,-0.0010529533,0.90480244
2310035C23Rik,0.020879038,0.500903
Tnfrsf11a,0.0009898872,0.7258835
Gm7160,0.0065468275,0.26596963
Zcchc2,0.0011754334,0.94469994
Gm20753,0.0,1.0
Phlpp1,-0.05088514,0.3296895
A530053M12Rik,0.0,1.0
Bcl2,0.09630197,0.4166964
D630008O14Rik,0.0,1.0
Kdsr,-0.07107946,0.012472754
Vps4b,-0.02300559,0.43649077
Serpinb5,-0.0011646606,0.734845
Serpinb12,0.0,1.0
Serpinb2,0.0,1.0
Serpinb10,0.0,1.0
Serpinb8,0.0,1.0
Cdh7,-0.0013041879,0.42264977
Cdh19,-0.041161716,0.60306346
Dsel,-0.00014004484,0.97014517
9330185C12Rik,0.0,1.0
Cntnap5a,0.0,1.0
Tsn,0.040192097,0.33772466
Nifk,-0.004808083,0.7192736
Clasp1,0.028140053,0.27491242
2900060B14Rik,-0.0030493513,0.78292054
Tfcp2l1,0.028936777,0.41555765
Gli2,0.0020098984,0.9053049
Gm26831,0.0031198515,0.7192422
Gm29455,0.0012965152,0.18363164
Inhbb,0.0053636953,0.76852524
Ralb,0.014097348,0.2768054
Gm27184,0.0063358434,0.21199818
Tmem185b,0.01082962,0.26260808
Epb41l5,-0.012377292,0.35123003
Ptpn4,0.0009022504,0.97602457
Tmem177,-0.0111147165,0.2548607
Cfap221,-0.0014107628,0.4226497
Sctr,0.0017809374,0.8493784
Tmem37,-0.008893454,0.3701193
Dbi,-0.10080075,0.30271265
3110009E18Rik,-0.012037991,0.3765092
Steap3,-0.057093196,0.14058585
C1ql2,0.0063998676,0.42264965
En1,0.0038543358,0.28222594
Celrr,0.018334076,0.577802
Insig2,0.012772962,0.30495137
Ccdc93,-0.0017074086,0.8228307
Htr5b,0.0,1.0
Ddx18,0.0020164251,0.96430826
Dpp10,0.0011290896,0.6606484
Actr3,-0.023988575,0.27820668
Slc35f5,0.0020691305,0.92213833
Gpr39,0.0,1.0
Lypd1,-0.0011336734,0.84301484
Nckap5,-0.0069648325,0.7430446
Mgat5,-0.04326436,0.23272729
Tmem163,0.0081443,0.25941595
2900009J06Rik,0.003183131,0.23789707
Ccnt2,-0.029369563,0.66465044
Map3k19,-0.007635479,0.35912755
Rab3gap1,-0.08904494,0.08277249
Zranb3,0.008312998,0.205314
Gm28800,0.0022040838,0.4226497
R3hdm1,0.0018603206,0.9229187
Ubxn4,0.030534059,0.6706685
Lct,0.0,1.0
Mcm6,-0.014075045,0.11431464
Dars,0.012016416,0.74274087
Cxcr4,-0.0045774966,0.2595352
Thsd7b,0.0,1.0
Cd55b,0.0,1.0
Gm15675,0.0,1.0
Cd55,0.0013377527,0.4226497
Gm16083,0.0,1.0
Gm29427,-0.0014897673,0.62393194
Pfkfb2,0.009956557,0.50116444
Yod1,-0.02601546,0.3356006
AA986860,0.012869889,0.07301351
Fcmr,0.0,1.0
Il10,0.0,1.0
Mapkapk2,-0.012246646,0.6965957
Dyrk3,-0.0068275677,0.21410628
Eif2d,-0.0048273504,0.7707244
Rassf5,0.004752433,0.6698807
Ikbke,0.0006704079,0.9040143
Gm28913,0.0,1.0
Srgap2,0.02854532,0.20888437
Fam72a,0.0006786287,0.91342884
Ctse,0.0,1.0
Rab7b,0.009660568,0.12932834
Slc26a9,0.0,1.0
Pm20d1,0.012847891,0.53211516
Slc41a1,-0.010919929,0.7211156
Rab29,0.022633769,0.49881074
Nucks1,0.0034343302,0.91875255
Slc45a3,0.0035143367,0.4226497
Elk4,-0.021312088,0.15719238
Mfsd4,0.0062633343,0.62054104
Gm26892,0.0,1.0
Cdk18,0.00476309,0.5017829
Gm29629,0.0,1.0
Lemd1,0.00023225136,0.90151626
Klhdc8a,0.0029047173,0.3590543
Nuak2,0.0045297723,0.4244898
Tmcc2,0.008363109,0.60957724
Dstyk,-0.0013774633,0.9572971
Rbbp5,0.0029943958,0.8018375
Tmem81,0.00056218356,0.91564703
Cntn2,0.026377661,0.41230738
Nfasc,-0.006974317,0.7253103
Gm10538,0.0,1.0
Lrrn2,0.010010205,0.48133498
Mdm4,0.031216875,0.4211934
Pik3c2b,9.986386e-05,0.99369836
Gm28609,0.0,1.0
Ppp1r15b,-0.044083208,0.09802924
Plekha6,0.0025911361,0.42275003
Gm19461,0.0,1.0
Ren1,0.0,1.0
Etnk2,-0.0022084026,0.70420504
Sox13,0.00081735477,0.9315824
Snrpe,-0.12748748,0.035470173
Zc3h11a,-0.021294892,0.17435816
Gm38394,-0.00013303105,0.9790836
Lax1,0.0,1.0
Atp2b4,0.0026829801,0.8681698
Optc,-0.0027484782,0.23952666
Gm15851,-0.0023636566,0.16042612
Prelp,0.03962612,0.7940969
Fmod,-0.005786284,0.29402664
Btg2,0.113184586,0.12617147
Chil1,-0.05973971,0.36088514
Mybph,-0.0015180757,0.19193737
Adora1,0.023233742,0.55037504
Myog,0.0017003332,0.42465392
Ppfia4,0.013203781,0.31910345
Tmem183a,0.026088528,0.10906956
Cyb5r1,-0.0066960454,0.6058281
Adipor1,0.005541384,0.8190255
Platr1,0.0015258646,0.42264977
Klhl12,-0.008182194,0.6895468
Rabif,0.003221564,0.8599901
Kdm5b,-0.01741445,0.63453585
Syt2,-0.0038904017,0.21696056
Ppp1r12b,-0.008370459,0.43742257
Gm28892,0.0,1.0
Ube2t,-0.0019103317,0.42264977
Lgr6,0.0042487085,0.9009846
Ptpn7,0.0,1.0
Arl8a,0.035290778,0.7382795
Gm15445,0.0041286303,0.18066175
Gpr37l1,-0.069667816,0.55645686
Gm26642,0.0,1.0
Elf3,0.0,1.0
Rnpep,-0.0034217387,0.9273929
Timm17a,-0.09599641,0.057672486
Lmod1,0.0,1.0
Shisa4,0.12514907,0.16176212
Ipo9,0.008368026,0.6061165
Nav1,0.019139485,0.48070315
Gm4793,0.0,1.0
Gm38399,-0.0002379049,0.8772435
Csrp1,0.072412014,0.5334465
Phlda3,0.0027597547,0.75365144
Tnni1,-0.00024290942,0.9751016
Lad1,-0.0007967839,0.4226497
Tnnt2,0.0004034424,0.42264965
Igfn1,0.0,1.0
Tmem9,0.011585116,0.74926203
Cacna1s,0.0022500805,0.5401147
Gm37759,0.0,1.0
Kif21b,0.015001029,0.68583924
Mroh3,0.0013417319,0.42264977
5730559C18Rik,0.0049139005,0.4226497
Gm26568,0.0,1.0
Gm26781,0.0,1.0
Camsap2,-0.0014149249,0.9570336
Ddx59,0.012670714,0.049584284
Kif14,0.0,1.0
Platr23,0.0,1.0
Zfp281,-0.024828672,0.24298441
Gm19705,-0.00073914323,0.8516183
Platr22,0.0,1.0
