,0,1,2,3,4,5
Gm38394,1,0,0,1,0,1
Atp2b4,19,18,21,11,3,1
Optc,0,1,0,1,0,0
Prelp,0,0,0,0,1,0
Btg2,35,145,19,324,210,128
Adora1,13,15,15,9,8,6
Ppfia4,4,12,3,11,5,16
Tmem183a,8,29,5,52,22,9
Cyb5r1,4,7,0,14,7,4
Adipor1,12,23,6,25,12,9
Klhl12,8,15,6,16,11,0
Rabif,5,6,0,15,5,2
Kdm5b,17,67,1,93,46,16
Syt2,0,9,0,4,0,0
Ppp1r12b,5,21,5,17,10,7
Ube2t,14,19,3,27,6,5
Lgr6,0,1,0,0,0,0
Arl8a,49,79,28,103,43,34
Gm15445,1,0,0,0,0,0
Gpr37l1,7,0,8,8,17,0
Rnpep,11,21,5,30,21,15
Timm17a,15,41,10,58,24,8
Shisa4,23,31,10,84,26,15
Ipo9,10,22,8,24,11,13
Nav1,45,81,18,181,46,24
Gm4793,0,1,0,0,1,0
Gm38399,3,1,0,5,0,1
Csrp1,24,29,7,42,37,16
Phlda3,7,12,13,16,13,8
Tnni1,0,0,0,0,3,0
Lad1,1,0,0,0,0,0
Tnnt2,2,2,1,0,0,0
Tmem9,12,32,4,35,14,7
Cacna1s,0,0,0,1,0,2
Kif21b,4,23,6,64,19,5
5730559C18Rik,1,0,0,3,0,0
Camsap2,11,34,15,23,9,8
Ddx59,3,4,1,4,3,0
Kif14,8,1,0,6,3,2
Platr23,0,0,0,0,1,0
Zfp281,6,28,2,29,17,6
Gm19705,0,0,1,0,0,0
A430106G13Rik,5,16,0,13,15,2
Ptprc,1,7,0,6,7,10
Nek7,5,5,5,17,5,17
Lhx9,1,2,2,12,2,4
2310009B15Rik,5,17,4,16,7,4
Dennd1b,11,10,2,19,14,3
Crb1,0,0,0,1,2,0
Zbtb41,7,5,2,24,9,0
Aspm,15,17,0,25,8,3
Cfh,12,9,0,6,8,26
Kcnt2,1,6,1,9,3,1
Cdc73,14,36,11,48,17,9
B3galt2,10,11,21,41,11,2
Glrx2,19,61,14,78,43,10
Trove2,13,44,13,58,33,9
Uchl5,12,19,8,26,17,7
Rgs2,8,24,5,33,34,15
Rgs13,0,0,0,2,0,0
Rgs1,0,1,0,1,4,3
Rgs18,1,0,1,0,0,0
Gm29514,0,0,1,1,0,1
Brinp3,5,4,6,14,8,4
Pla2g4a,1,0,0,1,3,2
Ptgs2,0,22,0,3,1,0
BC003331,6,23,9,22,12,7
Tpr,19,90,14,133,57,36
Gm10138,0,2,0,6,0,2
Ivns1abp,23,47,6,65,68,16
Swt1,9,21,7,43,19,7
Trmt1l,4,18,9,34,12,10
Rnf2,12,26,8,33,13,4
Fam129a,1,1,0,1,0,0
2810414N06Rik,0,0,1,1,0,0
Edem3,7,8,5,6,4,0
1700025G04Rik,12,18,8,15,15,7
Tsen15,12,25,7,27,15,5
Colgalt2,0,1,0,0,0,0
Rgl1,8,12,7,6,6,1
Arpc5,20,83,20,84,49,25
Ncf2,1,7,0,4,6,15
Smg7,15,29,12,22,7,3
Nmnat2,12,29,9,23,5,4
Lamc2,2,0,0,0,0,0
Lamc1,5,3,4,4,6,1
Shcbp1l,0,2,0,0,0,0
Dhx9,30,53,7,61,47,11
Npl,2,1,0,1,3,7
Rgs8,1,9,3,3,3,3
C230024C17Rik,0,1,0,0,0,0
Rgs16,0,8,0,5,15,4
Rnasel,6,26,0,20,4,6
Rgsl1,0,1,0,0,0,0
Teddm2,1,5,0,2,2,0
Glul,36,57,9,86,75,65
Gm29291,1,0,0,0,0,0
A830008E24Rik,0,1,0,0,1,0
Cacna1e,19,32,23,29,16,6
Gm9530,0,0,1,0,0,1
Ier5,41,79,18,298,107,88
Mr1,0,1,0,3,0,1
Stx6,16,48,20,60,16,8
BC034090,0,2,0,9,2,0
Xpr1,25,33,16,68,31,10
Acbd6,18,51,6,58,28,5
Qsox1,5,9,2,19,9,5
Cep350,9,17,5,26,15,1
Tor1aip1,11,11,8,27,17,6
Tor1aip2,9,15,2,34,4,7
Tdrd5,1,0,0,0,0,0
Axdnd1,1,0,0,0,0,0
Gm2000,0,12,2,14,15,0
Soat1,3,9,6,13,7,6
Gm10031,1,1,0,1,2,0
Abl2,0,18,5,18,9,6
Tor3a,0,1,2,1,3,1
Fam20b,5,10,3,15,7,3
Ralgps2,21,24,23,53,38,11
Angptl1,2,0,0,1,0,0
Rasal2,11,25,10,56,20,3
BC026585,0,0,1,1,1,1
Brinp2,1,38,6,9,25,8
Astn1,18,64,13,49,32,14
Pappa2,0,0,0,1,0,0
Rfwd2,15,48,3,65,23,5
Tnr,24,15,17,12,8,2
Gm38039,0,2,0,1,0,0
4930523C07Rik,1,0,0,0,0,0
Mrps14,18,59,12,82,32,13
Cacybp,29,84,18,167,64,22
Rabgap1l,15,54,17,39,14,5
Rc3h1,8,27,4,42,16,6
Serpinc1,2,0,0,3,1,0
Zbtb37,10,14,6,22,16,0
Dars2,1,6,0,9,4,1
Cenpl,8,11,0,14,8,3
Klhl20,5,10,2,11,8,2
Ankrd45,6,10,2,13,4,2
Prdx6,13,70,7,55,51,28
Suco,5,10,5,25,14,5
Pigc,2,6,1,4,2,0
Dnm3,39,51,26,83,39,17
Dnm3os,0,0,0,2,2,1
Mettl13,3,2,4,6,4,0
Vamp4,13,31,9,40,16,8
Prrc2c,54,81,18,143,83,28
Prrx1,3,2,0,1,1,0
Gm26523,0,0,1,0,0,0
Gorab,1,7,1,15,4,4
Kifap3,35,62,33,80,33,16
Scyl3,4,7,0,8,2,1
BC055324,1,5,0,2,0,1
Mettl18,0,3,1,1,1,0
F5,0,1,0,3,0,0
Slc19a2,1,3,0,0,1,0
Ccdc181,2,7,3,12,1,2
Blzf1,0,7,1,8,5,2
Nme7,9,21,10,26,8,3
Atp1b1,116,500,164,237,144,85
Gm32569,0,0,0,0,0,1
4930568G15Rik,0,0,0,1,0,0
Sft2d2,1,1,1,8,5,4
Tiprl,15,30,10,47,19,13
Gpr161,2,18,5,9,3,0
Dcaf6,4,16,8,26,4,2
Mpc2,36,85,28,117,41,20
Adcy10,0,4,1,0,0,0
Gm38325,1,0,0,0,0,0
Mpzl1,2,12,3,30,11,3
Rcsd1,1,0,0,2,2,5
Creg1,8,12,3,25,18,18
Cd247,1,0,0,0,0,0
Pou2f1,12,37,5,45,35,8
Dusp27,0,0,0,0,0,2
Ildr2,13,26,14,20,7,14
Gm15853,0,0,0,0,1,2
Tada1,9,28,9,30,12,7
Pogk,4,34,2,31,20,2
Gm16701,0,0,0,0,2,0
Gm16701-1,1,7,1,2,0,0
Fam78b,3,13,0,8,8,1
Uck2,3,6,0,13,10,0
Tmco1,14,48,17,82,30,28
Aldh9a1,3,2,0,16,4,3
Mgst3,13,54,8,30,14,7
Rxrg,0,2,2,0,0,0
Lmx1a,1,1,0,1,0,0
Pbx1,63,410,41,333,208,86
Nuf2,10,10,3,23,3,2
Rgs5,0,1,1,6,5,3
Rgs4,15,25,15,36,14,10
Ccdc190,0,0,0,1,0,4
Hsd17b7,3,11,3,12,3,1
