,0,1,2,3,4,5
Irs1,18,111,89,17,27,25
Gm9747,1,0,0,0,0,0
Rhbdd1,9,64,45,13,21,13
Col4a4,21,86,82,11,21,16
Col4a3,8,7,35,1,1,0
Mff,263,558,511,85,127,200
Agfg1,31,122,75,23,25,32
Slc19a3,0,1,1,0,0,0
Ccl20,0,0,1,0,0,0
Daw1,19,108,39,33,51,21
Sphkap,0,0,2,0,2,2
Pid1,79,145,96,45,71,76
Dner,15,46,34,7,6,11
Trip12,98,239,228,61,63,53
Fbxo36,151,406,374,121,173,115
Slc16a14,0,0,1,0,0,0
C130026I21Rik,2,41,3,3,3,5
A530032D15Rik,0,33,1,2,1,9
A530040E14Rik,1,3,2,1,3,5
Sp110,15,102,11,9,24,36
Sp140,5,171,7,8,20,34
Sp100,16,164,25,23,50,62
A630001G21Rik,9,31,8,6,12,6
Cab39,93,247,197,49,75,62
Itm2c,628,2499,1509,967,1137,854
4933407L21Rik,18,116,29,29,43,12
Gm28884,0,4,2,1,1,0
Gpr55,1,9,4,4,8,2
Gm28100,0,0,0,0,1,0
Spata3,1,3,6,4,1,2
2810459M11Rik,5,51,22,16,21,23
Psmd1,106,249,267,64,90,102
Armc9,15,80,52,19,31,22
B3gnt7,0,0,0,2,0,0
Ncl,256,684,688,196,244,231
1700019O17Rik,0,1,0,0,0,0
Ptma,2051,7680,4279,2040,2544,2167
Pde6d,164,316,315,97,153,89
Cops7b,5,35,20,9,11,8
Nppc,4,27,35,21,16,22
Dis3l2,13,33,32,21,18,13
Eif4e2,56,220,115,38,46,55
Efhd1,22,21,36,21,13,20
Gigyf2,27,105,52,26,34,30
Kcnj13,1348,1408,2925,75,79,274
3110079O15Rik,0,0,3,0,0,0
Ngef,12,140,72,42,53,35
Neu2,1,36,14,10,12,8
Inpp5d,32,114,29,31,50,30
Atg16l1,26,64,65,10,20,19
Sag,7,6,10,3,3,6
Dgkd,9,37,40,13,19,15
Gm19582,0,0,1,0,0,0
Usp40,20,57,61,21,24,26
Ugt1a7c,1,6,0,1,1,0
Ugt1a6a,1,6,0,0,3,0
Ugt1a5,0,1,0,0,0,0
Ugt1a2,0,0,0,0,1,0
Dnajb3,2,9,8,2,3,2
Ugt1a1,1,0,0,0,0,0
Mroh2a,0,5,5,0,0,0
Hjurp,32,112,36,19,30,20
Gm29538,201,316,333,40,72,65
Glrp1,0,0,1,0,2,0
Gm29336,0,3,0,0,1,1
Arl4c,57,171,56,42,63,42
Platr5,0,0,0,0,0,1
Sh3bp4,17,50,36,15,14,14
Agap1,18,103,47,19,23,37
Iqca,64,338,152,140,253,111
4930434B07Rik,0,3,0,2,3,0
Ackr3,19,118,97,20,23,36
Gm28723,0,0,1,1,1,0
Cops8,109,254,192,65,95,60
Col6a3,3,2,1,3,3,3
Mlph,5,4,2,2,4,0
Lrrfip1,34,236,34,46,45,45
Ramp1,133,853,286,307,377,157
Ube2f,113,250,212,36,34,85
Gm26683,0,1,1,0,0,0
Scly,22,37,44,1,13,22
Klhl30,2,1,2,1,1,1
Fam132b,0,0,0,0,0,1
Ilkap,82,198,189,49,62,82
1700020N18Rik,0,1,0,0,0,0
Hes6,95,129,223,17,26,49
Per2,4,47,9,11,19,10
Traf3ip1,26,81,58,25,41,23
Asb1,10,26,18,4,5,12
Twist2,0,1,0,2,0,1
Hdac4,30,156,89,28,65,41
Gm26720,0,7,0,2,1,2
Ndufa10,248,421,533,86,119,172
Myeov2,633,1209,1413,131,281,400
Otos,0,1,0,0,0,0
Gm29483,0,0,1,0,0,0
Gpc1,10,37,27,3,8,5
Gm29480,0,1,0,0,0,0
Ankmy1,1,2,0,0,0,0
Dusp28,56,89,104,27,28,34
5033417F24Rik,4,2,5,1,2,2
Rnpepl1,16,68,41,20,27,37
9430060I03Rik,1,9,6,7,2,3
Capn10,22,65,59,20,28,16
Gpr35,10,51,7,13,16,27
Aqp12,0,0,1,0,1,0
Kif1a,35,54,119,19,22,40
2310007B03Rik,0,4,8,1,0,1
Crocc2,5,105,35,38,34,14
Sned1,13,43,29,14,21,21
Mterf4,34,95,77,32,44,33
Gm28535,4,4,3,0,4,0
