gene,log2FC_z,p,padj
1700001L05Rik,0.06488445179993399,0.8680937676929276,0.9957145576505264
1700001L19Rik,-0.043758052359731195,0.9045330457766658,0.9957145576505264
1700001O22Rik,-0.3410351227498518,0.417216787938921,0.9857739113502277
1700003E16Rik,-0.11818852530018323,0.7373925702165939,0.9942515885498023
1700003M07Rik,0.036008379262069526,0.9243475227039345,0.9969304081370509
1700007E05Rik,0.03952823706883028,0.9153515336008569,0.9960695304050876
1700007G11Rik,0.24559377809260538,0.5222945066079853,0.9857739113502277
1700007K09Rik,0.07065023631898423,0.8623821168657648,0.9957145576505264
1700007K13Rik,0.006499452119516407,0.9872281646712645,0.9994993364511346
1700008J07Rik,0.22540401231724663,0.5104886159936712,0.9857739113502277
1700008O03Rik,-0.3895278598067147,0.3582217332956831,0.9857739113502277
1700010I14Rik,0.5019798318866602,0.2745079213573556,0.9857739113502277
1700012B09Rik,-0.3113449912960149,0.442498804731897,0.9857739113502277
1700013F07Rik,-0.12532844949237415,0.7615782774324742,0.995391671407995
1700014D04Rik,0.15415079764143452,0.6807675624783542,0.9900843878271318
1700016A09Rik,-0.5839307952737203,0.1652856712609073,0.9857739113502277
1700016K19Rik,-0.5163811320456114,0.20958771936888096,0.9857739113502277
1700016P03Rik,0.32354920112347924,0.4563327629760454,0.9857739113502277
1700017B05Rik,-0.42105987314020177,0.27668060841865355,0.9857739113502277
1700018L02Rik,0.10200082094969529,0.8248379484742161,0.9957145576505264
1700019D03Rik,0.4116481592687922,0.2887382012943383,0.9857739113502277
1700020D05Rik,0.08634595312047591,0.8234373358785639,0.9957145576505264
1700020I14Rik,-0.450335802570738,0.1892384018643921,0.9857739113502277
1700021F05Rik,-0.38247608075870604,0.3436850365594657,0.9857739113502277
1700023F06Rik,-0.6433332724767726,0.15079611338956722,0.9857739113502277
1700025G04Rik,-0.14273649362375837,0.7074726374447768,0.9912238977957673
1700027J19Rik,-0.13131036715220942,0.7098020345804112,0.9912238977957673
1700028E10Rik,-0.6075065502275223,0.10243525872829277,0.9828772960271867
1700028J19Rik,-0.1433270585905323,0.7233455204206786,0.9923360617987105
1700028K03Rik,-0.31535230238631634,0.39428338621028386,0.9857739113502277
1700028P14Rik,-0.10737350834953421,0.8166448968265385,0.9957145576505264
1700029I15Rik,-0.3917074416542178,0.31640043356774883,0.9857739113502277
1700029J07Rik,-0.08213243926439676,0.8439291403075511,0.9957145576505264
1700030C10Rik,-0.9475389474712386,0.015436443318972542,0.8443594388100116
1700030C14Rik,0.3047607662728054,0.4805682879900539,0.9857739113502277
1700030J22Rik,-0.11636106998002987,0.7561645628767386,0.995002303447194
1700030K09Rik,-0.16804425627202538,0.6222943969118638,0.9899338981042789
1700034H15Rik,-0.010057067805445444,0.9789474758309661,0.9994993364511346
1700037C18Rik,-0.3842691740149538,0.40461643652156337,0.9857739113502277
1700037H04Rik,-0.22811365756017793,0.5225602276589506,0.9857739113502277
1700040D17Rik,-0.3908138549441402,0.32362018561623696,0.9857739113502277
1700047M11Rik,-1.0583104659420197,0.0033838727664972403,0.6078585500663042
1700048O20Rik,-0.06180779294503044,0.8550320836124098,0.9957145576505264
1700052K11Rik,-0.5492411194237616,0.08884262261937124,0.9828772960271867
1700055D18Rik,-0.1072692488081308,0.7556508759839315,0.995002303447194
1700056N10Rik,-0.24336376724681544,0.4906348184794428,0.9857739113502277
1700063D05Rik,-0.552895583874242,0.1493594150391755,0.9857739113502277
1700065D16Rik,-0.5882819063888375,0.11004114085046184,0.9828772960271867
1700066M21Rik,-0.29815557081061306,0.45154041511913745,0.9857739113502277
1700084E18Rik,0.008063325899765172,0.9842487397311175,0.9994993364511346
1700086L19Rik,0.3367463984552442,0.37160910389805046,0.9857739113502277
1700086O06Rik,-0.2139126005508089,0.613109936518987,0.9899338981042789
1700088E04Rik,-0.08448073097288397,0.8381782740287705,0.9957145576505264
1700095J03Rik,-0.739020285534479,0.07020561592281058,0.9785107381831241
1700096K18Rik,-1.094089413097547,0.004937588871367334,0.6610264837400662
1700101I11Rik,0.25059656601093294,0.5118356950427638,0.9857739113502277
1700102P08Rik,0.18663836604619477,0.6251540177997948,0.9899338981042789
1700105P06Rik,-0.4895261038646488,0.260917149943548,0.9857739113502277
1700109H08Rik,-0.05444602567391908,0.9014589501941626,0.9957145576505264
1700110C19Rik,0.7266149018173954,0.05060620845595057,0.9448929395613455
1700112D23Rik,-0.12659570507096427,0.763727602648586,0.995391671407995
1700112J16Rik,-0.26799351100775665,0.45129106584446643,0.9857739113502277
1700113A16Rik,-0.626523376010747,0.11533745729149937,0.9828772960271867
1700120C14Rik,-0.025675273735539933,0.953179263584241,0.9974522354524169
1700123M08Rik,0.1927577788478373,0.5676125258629104,0.9898261596637062
1700123O20Rik,0.3578455598459371,0.37091002290733704,0.9857739113502277
1700124L16Rik,0.43909290391785544,0.26392942648299617,0.9857739113502277
1810009A15Rik,-0.19154114997137658,0.5697637700209937,0.9899338981042789
1810010H24Rik,-0.38765722591496277,0.3057088682828722,0.9857739113502277
1810010K12Rik,-0.23850683399393355,0.5887232774167257,0.9899338981042789
