gene,n_datasets,meta_Z,meta_p,consistency,n_sig,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p,meta_padj,in_pathway,tier
Prr18,3,-2.2308853514130784,0.02568872429990301,1.0,0,-1.1491679047346801,-0.31528826577258506,-0.6862219030981214,-2.4459935453333337,0.10481306181086221,0.12434748511272618,0.4046257556595567,0.9999814863457843,D,T1_meta&全一致
Ctss,3,-2.173258057633442,0.02976090032851422,1.0,1,-0.26985495173446533,-0.23691967627572907,-0.02335697892766042,-0.5492882000000066,0.019133432379748336,0.8938600069496968,0.7359238979606375,0.9999814863457843,A+B,T1_meta&全一致
Ccl6,3,-2.1556744786469766,0.031109092359749922,1.0,0,-0.2893408294911882,-0.49599233550660937,-0.2593957503002886,-0.11263440266666669,0.058490004360963105,0.5577940147385752,0.38802247083334557,0.9999814863457843,B,T1_meta&全一致
Siglech,3,-2.1485606698741577,0.03166924221687538,1.0,0,-0.17353097321794286,-0.21165984712163244,-0.036436498532196104,-0.27249657400000005,0.057604730815639736,0.9126309317973565,0.22214501134275896,0.9999814863457843,B,T1_meta&全一致
Ndrg1,3,-2.1355992598832714,0.032712091809256105,1.0,1,-0.4152825751658777,-0.1804509276757269,-0.04542067815523865,-1.0199761196666675,0.04028406029321343,0.7636235651585362,0.4737100434718423,0.9999814863457843,D,T1_meta&全一致
Lcn2,3,2.0924791116084025,0.03639567840446612,1.0,1,0.4921902438189627,0.7894796295422699,0.44277776991461815,0.24431333200000002,0.2838714557635093,0.4041302842904783,0.026864205350006935,0.9999814863457843,B,T1_meta&全一致
Sgk1,3,2.069532170336798,0.03849617570865025,0.6666666666666666,1,1.4443992939107073,0.6232958850837615,-0.3550624313516382,4.064964427999999,0.08705937662003663,0.37893456970697625,0.026032558145055566,0.9999814863457843,D,T2_meta&多数一致
Ccl12,3,-2.044611858925159,0.040893139419060684,1.0,1,-0.29799324101480296,-0.8054676883640619,-0.07343245034701368,-0.015079584333333312,0.032371453240203525,0.5859403702465644,0.9130823814984199,0.9999814863457843,B,T1_meta&全一致
C5ar1,3,2.0328241912393414,0.04207028817008446,1.0,0,0.22830326924701294,0.27554605126065557,0.30536307448038325,0.10400068200000001,0.17548410426852062,0.18949899031509143,0.27665487249636617,0.9999814863457843,A,T1_meta&全一致
Cd80,3,-2.0162125246696685,0.0437777573074848,1.0,0,-0.32424357695274714,-0.5007652648806147,-0.24761302631096016,-0.22435243966666665,0.26897327620894873,0.17733506273151137,0.12451460129799614,0.9999814863457843,B,T1_meta&全一致
Tyrobp,3,-1.991693222251267,0.04640472783401787,1.0,0,-0.6095466550291685,-0.2374785478782826,-0.34377983187588956,-1.2473815853333334,0.2347648006326816,0.29802162062729826,0.11981885785533174,0.9999814863457843,A+B,T1_meta&全一致
Cx3cl1,3,-1.9906741137618424,0.04651672640027111,1.0,0,-0.7330664928237205,-0.4127517976063029,-0.16642970086485853,-1.62001798,0.0550265234317406,0.39787247445488083,0.8478798732665338,0.9999814863457843,A,T1_meta&全一致
Megf10,3,-1.9877386830007138,0.04684059832700803,1.0,0,-0.23718096762584176,-0.18949151405611175,-0.08751924415474654,-0.434532144666667,0.1266760977552377,0.7304228418330653,0.1590730706087887,0.9999814863457843,A,T1_meta&全一致
Cd9,3,-1.9775281482749085,0.047981961999916646,0.6666666666666666,1,-0.5329289330701877,-0.3563864850078655,0.23237111979730152,-1.474771433999999,0.031420763978041576,0.4683932987609205,0.33864478777859963,0.9999814863457843,B,T2_meta&多数一致
Fabp5,3,-1.977362412550579,0.04800067948708916,1.0,1,-0.175992732020255,-0.21427482225444017,-0.29395710447299184,-0.01974626933333301,0.13872156327115293,0.03330580640964381,0.9811184387749969,0.9999814863457843,B,T1_meta&全一致
