gene,dataset,log2FC,p,padj,n_post,n_ctrl
2510046G10Rik,GSE276942,0.4137316047628903,0.36599924706688586,0.9992643367945064,13,4
2600014E21Rik,GSE276942,-0.32464508829900574,0.5237874175697294,0.9992643367945064,13,4
2610001J05Rik,GSE276942,-0.38593212677504063,0.23449983546811407,0.9992643367945064,13,4
2610002M06Rik,GSE276942,-0.13395641693887228,0.5402836987377765,0.9992643367945064,13,4
2610005L07Rik,GSE276942,-0.025753843603721904,0.9372014112273193,0.9992643367945064,13,4
2610008E11Rik,GSE276942,-0.27890001893289273,0.5213597206477395,0.9992643367945064,13,4
2610015P09Rik,GSE276942,-0.05167000898018426,0.8962314417019116,0.9992643367945064,13,4
2610020C07Rik,GSE276942,-0.36470676017125125,0.42902738460492945,0.9992643367945064,13,4
2610020H08Rik,GSE276942,0.2551016553000869,0.5425859167956377,0.9992643367945064,13,4
2610021A01Rik,GSE276942,-0.06246626144354828,0.8539715262054945,0.9992643367945064,13,4
2610028E06Rik,GSE276942,-1.185111883888252,0.02401816980381184,0.9992643367945064,13,4
2610035D17Rik,GSE276942,-0.03361230545131377,0.8074968607395816,0.9992643367945064,13,4
2610035F20Rik,GSE276942,0.3712533411157537,0.690433948719313,0.9992643367945064,13,4
2610037D02Rik,GSE276942,0.3192101169166168,0.3006075233589999,0.9992643367945064,13,4
2610042L04Rik,GSE276942,-0.12273397557651489,0.8268018841776801,0.9992643367945064,13,4
2610044O15Rik8,GSE276942,-0.1337264503541249,0.7427842860053842,0.9992643367945064,13,4
2610203C20Rik,GSE276942,-0.08596868207915165,0.8793188761399123,0.9992643367945064,13,4
2610203C22Rik,GSE276942,-0.6491927533819819,0.062287886670694396,0.9992643367945064,13,4
2610301B20Rik,GSE276942,-0.027131424620206346,0.8761242707603479,0.9992643367945064,13,4
2610305D13Rik,GSE276942,-0.9731849418377188,0.1606805802886903,0.9992643367945064,13,4
2610306M01Rik,GSE276942,-0.24490169969804487,0.01133725318042855,0.7943133607947556,13,4
2610316D01Rik,GSE276942,-0.058481039889406894,0.7881431980982025,0.9992643367945064,13,4
2610318N02Rik,GSE276942,-0.021395829833489532,0.9255229909606258,0.9992643367945064,13,4
2610507B11Rik,GSE276942,-0.07882613468923338,0.6659646947924376,0.9992643367945064,13,4
2610507I01Rik,GSE276942,-0.2070956403745825,0.464360760384564,0.9992643367945064,13,4
2610524H06Rik,GSE276942,-0.3607272460132034,0.07622059003624769,0.9992643367945064,13,4
2700029L08Rik,GSE276942,0.37884247185540953,0.33265803656015375,0.9992643367945064,13,4
2700029M09Rik,GSE276942,-0.18553633177085338,0.5211235654036294,0.9992643367945064,13,4
2700038G22Rik,GSE276942,-0.04732174358271335,0.9188165248151335,0.9992643367945064,13,4
