gene,timepoint,log2FC,p,padj
1700017B05Rik,24H,0.028862662588931443,0.8382279441434447,1.0
1700018L02Rik,24H,0.49202876151099506,0.4192399279987412,1.0
1700019D03Rik,24H,0.24377116915388797,0.47390440221360225,1.0
1700019G17Rik,24H,0.2456106720485689,0.37761541146571653,1.0
1700019L03Rik,24H,0.19897180864150688,0.6848262665658656,1.0
1700020D05Rik,24H,0.10053763515981284,0.8356122487925051,1.0
1700020I14Rik,24H,0.1798734433870095,0.5537822223456268,1.0
1700021F05Rik,24H,-0.2773272184646487,0.5016753168912884,1.0
1700021K19Rik,24H,-0.24112480489104726,0.5905201960753005,1.0
1700023F06Rik,24H,0.02936260766160359,0.935133471368058,1.0
1700024G13Rik,24H,0.49850650766689464,0.3626516392233017,1.0
1700024P16Rik,24H,0.133024966846242,0.757884760022327,1.0
1700025G04Rik,24H,0.05670881121527849,0.7971741459324787,1.0
1700026D08Rik,24H,0.3277783444915885,0.6452308665035202,1.0
1700026L06Rik,24H,0.10261076376868061,0.876210404176968,1.0
1700027J19Rik,24H,-0.2725503623867098,0.5660753236895252,1.0
1700028E10Rik,24H,0.01918617748314322,0.9588315579458215,1.0
1700028J19Rik,24H,0.5262387208371315,0.2806069383899061,1.0
1700028K03Rik,24H,-1.8436110726070771,0.21344981245076514,1.0
1700028P14Rik,24H,0.8402402066307628,0.14036881512053756,1.0
1700029I15Rik,24H,0.07971322673197445,0.7657666499364966,1.0
1700029J07Rik,24H,0.3079193871037562,0.6477260808721362,1.0
1700030C10Rik,24H,-0.32742234676237114,0.4298639923299655,1.0
1700030C14Rik,24H,0.7368831450264661,0.5100791127272236,1.0
1700030J22Rik,24H,0.1316095242221591,0.7367336268746424,1.0
1700030K09Rik,24H,-0.008958130010713106,0.9595117475989006,1.0
1700034H15Rik,24H,-0.0408501334136675,0.9152344008817181,1.0
1700037C18Rik,24H,0.0076874936632638224,0.9798191767088388,1.0
1700037H04Rik,24H,0.07795739230995125,0.7506829640118776,1.0
1700040D17Rik,24H,0.12278377746371305,0.739445500404542,1.0
1700040L02Rik,24H,-0.3912816169667268,0.5114234475337026,1.0
1700047M11Rik,24H,-0.30288209022957524,0.38592502636031684,1.0
1700048O20Rik,24H,-0.14520689360821493,0.8149796916236215,1.0
1700049G17Rik,24H,0.2075943418088686,0.6304223381081145,1.0
1700052K11Rik,24H,-0.06910631981663773,0.7945766649019997,1.0
1700055D18Rik,24H,0.5099322190489004,0.3085360368970328,1.0
1700056N10Rik,24H,-0.1412377248405816,0.48287838759431245,1.0
1700063D05Rik,24H,-0.4433471419769708,0.386934581566326,1.0
1700065D16Rik,24H,-0.8221599012126841,0.20710689257631476,1.0
1700066M21Rik,24H,0.04783087061391278,0.9040634285887943,1.0
1700084C01Rik,24H,0.24507303516127799,0.4891048302931475,1.0
1700084E18Rik,24H,-0.3506974878724649,0.514182762825293,1.0
1700086L19Rik,24H,0.14555295159025228,0.6825695960203818,1.0
1700086O06Rik,24H,-0.16862924742524132,0.2866646406605651,1.0
1700088E04Rik,24H,0.1459085982919932,0.692949872470977,1.0
1700095J03Rik,24H,-0.01611674830740828,0.9548197814047247,1.0
1700096K18Rik,24H,-0.6050845406671828,0.006784373561961854,1.0
1700101E01Rik,24H,0.3281715968434038,0.5434274816251948,1.0
1700101I11Rik,24H,-0.05592623505904282,0.9389823445563296,1.0
1700102P08Rik,24H,0.6993705945366342,0.3070855546107754,1.0
1700105P06Rik,24H,-0.168711859845581,0.7607496032634454,1.0
1700109H08Rik,24H,0.3248949599183728,0.4971250446138944,1.0
1700110C19Rik,24H,0.21590517417214627,0.71966642200413,1.0
