gene,source,gene_tier,set_repr,n_datasets,consistency,n_sig,meta_Z,meta_p,mean_log2FC,GSE276942_log2FC,GSE215410_log2FC,GSE174412_log2FC,GSE276942_p,GSE215410_p,GSE174412_p
Cx3cr1,gene-level,T2_meta&多数一致,"A,B",3,0.6666666666666666,1,-2.2531698397468287,0.0242484422842709,0.0843822270370354,-0.2991798327279653,0.1480019851724048,0.4043245286666668,0.0010621143876046,0.5029764955879769,0.4542259797268828
Sgk1,gene-level,T2_meta&多数一致,,3,0.6666666666666666,1,2.069532170336798,0.0384961757086502,1.444399293910707,0.6232958850837615,-0.3550624313516382,4.064964427999999,0.0870593766200366,0.3789345697069762,0.0260325581450555
Cd9,gene-level,T2_meta&多数一致,,3,0.6666666666666666,1,-1.9775281482749083,0.0479819619999166,-0.5329289330701877,-0.3563864850078655,0.2323711197973015,-1.474771433999999,0.0314207639780415,0.4683932987609205,0.3386447877785996
Ndufa1,set-representative,,C,3,1.0,0,-1.929008775680666,0.0537297727875893,-0.4508774705481864,-0.124802411003321,-0.4796924526412383,-0.7481375479999999,0.0655605567396688,0.4459369690907539,0.7875183900912408
Slc25a1,set-representative,,C,3,0.6666666666666666,0,-1.9146381848562493,0.055538661874576,-0.1771121924729513,-0.2777473760130178,-0.3361970290725029,0.0826078276666666,0.0503127298970014,0.2888918239322336,0.8022090663527508
Cox7b,set-representative,,C,3,1.0,0,-1.839127673113922,0.0658964096105195,-1.112292668721402,-0.1006951067687218,-0.0772036093954815,-3.158979290000003,0.1907143692976999,0.6846874532381019,0.147178304828715
Cox10,set-representative,,C,3,1.0,0,-1.7685067045593712,0.0769762323492932,-0.1228607622736898,-0.1525968784692093,-0.1537887130185264,-0.0621966953333337,0.0636458621132957,0.6926595432584921,0.8819853354902266
Mpc2,set-representative,,C,3,1.0,0,-1.7224714626987927,0.0849841479868656,-0.13277590392026,-0.1690931366541814,-0.0789429104399319,-0.1502916646666667,0.2641401760687347,0.4034134145859558,0.2253404797715414
Ndufb7,set-representative,,C,3,1.0,0,-1.6931463014484485,0.0904276228735607,-0.2197840955598891,-0.0583891619018501,-0.2092467944444838,-0.3917163303333335,0.236912306426133,0.4438196544580036,0.2891283612278135
Atp5f1,set-representative,,C,3,1.0,0,-1.6225102340762911,0.1046941436171526,-0.2717415942149106,-0.0962301563119165,-0.1146031696661502,-0.604391456666665,0.2538583545177941,0.1774009006720344,0.6186306453126353
Cox7a1,set-representative,,C,2,1.0,0,-1.5137093383118658,0.1300995754557981,-0.3579404443741631,-0.4552667970336275,-0.2606140917146987,,0.1857408155117084,0.4402700659364805,
Atp5g3,set-representative,,C,3,1.0,0,-1.507520480953496,0.1316772981357874,-0.5868694857447044,-0.0564008703156897,-0.699721049585091,-1.0044865373333325,0.5624222313551928,0.0870319521902234,0.2758835937509823
Atpif1,set-representative,,C,3,1.0,0,-1.459159468298178,0.1445212216202938,-1.51171491848413,-0.1066517847121595,-0.0257718940735651,-4.402721076666666,0.3129108618027075,0.9441002472040304,0.1566971279149417
