gene,cluster,max_membership
Pxylp1,2,0.547
R74862,0,0.967
RP23-154P9.3,2,0.733
RP23-181P23.1,0,0.999
RP23-181P23.4,4,0.577
RP23-322E20.6,1,0.319
RP23-374K9.4,2,0.512
RP23-435I16.2,4,0.725
RP23-446E21.5,1,0.975
RP23-4F16.12,1,0.311
RP23-4F16.14,0,0.329
RP24-136L4.6,2,0.475
RP24-194N1.2,3,0.424
RP24-238C11.4,3,0.777
RP24-568N16.1,1,0.587
RP24-67F19.6,3,0.435
RP24-74B24.4,1,0.298
Rab23,0,1.0
Rab26os,1,0.794
Rab2b,0,0.963
Rab34,0,0.999
Rab37,0,0.841
Rab4b,0,1.0
Rab9,0,0.983
Rabl3,0,1.0
Rac1,0,0.912
Rae1,0,1.0
Rap1a,0,0.992
Rapsn,3,0.8
Rbl1,2,0.772
Rbm41,2,0.896
Rbm45,0,0.984
Rbmx2,0,0.923
Rdx,0,1.0
Recql4,0,0.97
Rel,0,0.866
Rffl,0,0.999
Rfx3,0,1.0
Rgag4,3,0.771
Rgp1,0,1.0
Rgs1,3,0.656
Rgs13,4,0.796
Rhobtb3,0,0.993
Ripk1,0,0.514
Ripply2,0,0.946
Rnf113a2,0,0.996
Rnf125,2,0.641
Rnf149,0,1.0
Ror2,4,0.907
Rpa1,0,1.0
Rpa3,2,0.771
Rph3al,0,0.995
Rpl15,0,1.0
Rpl17,2,0.592
Rpl23a,0,0.996
Rpp30,0,0.787
Rpp40,4,0.511
Rrm2,0,0.628
Rsl1,2,0.612
Rtn4,0,1.0
Rtp1,0,0.728
Rttn,0,0.866
Runx1t1,0,0.874
Rxfp3,2,0.93
S100a11,0,0.79
S100a6,0,0.947
Sag,0,0.835
Samd5,0,0.991
Samd9l,2,0.87
Sars2,0,1.0
Sass6,2,0.993
Sat2,0,0.774
Scai,0,0.999
Scarf1,0,0.839
Scfd1,0,0.931
Scn2a1,0,1.0
Scnn1a,0,0.999
Scpep1,0,0.996
Sdf2l1,0,0.965
Sdr42e1,0,0.941
Sema3d,2,0.992
Senp6,0,0.994
Senp8,0,0.886
Serbp1,0,1.0
Serpinb8,0,0.509
Serpind1,2,0.769
Setd3,0,0.999
